spotify_track_uri,ts,platform,ms_played,track_name,artist_name,album_name,reason_start,reason_end,shuffle,skipped
12yHvSYFXI7PGzNecUvIDu,1/1/2023 0:51,android,465,Saturday Night’s Alright (For Fighting) - Remastered 2014,Elton John,Goodbye Yellow Brick Road - Remastered,fwdbtn,unknown,FALSE,FALSE
4CRLruAsui7zVwUMlsvjJk,1/1/2023 0:51,android,1028,Prismism,Keuning,Prismism,remote,fwdbtn,FALSE,TRUE
12yHvSYFXI7PGzNecUvIDu,1/1/2023 0:56,android,295466,Saturday Night’s Alright (For Fighting) - Remastered 2014,Elton John,Goodbye Yellow Brick Road - Remastered,fwdbtn,trackdone,FALSE,FALSE
2bzitsPcImYC6DZWvvLCQi,1/1/2023 1:00,android,210933,"Zero - From the Original Motion Picture ""Ralph Breaks The Internet""",Imagine Dragons,Origins,trackdone,trackdone,FALSE,FALSE
0nOF9ewQlwzVU0qKPR2DTq,1/1/2023 1:04,android,276666,Live Forever - 2014 Remaster,Oasis,Definitely Maybe,trackdone,trackdone,FALSE,FALSE
7mar4DMFlVi5DwbarqP38M,1/1/2023 1:08,android,208698,Paper Crown,Liam Gallagher,As You Were,trackdone,trackdone,FALSE,FALSE
3k7JQg9M5rZJHveFYq0y9J,1/1/2023 1:12,android,234880,Holy Mountain,Noel Gallagher's High Flying Birds,Holy Mountain,trackdone,trackdone,FALSE,FALSE
2lwwrWVKdf3LR9lbbhnr6R,1/1/2023 1:16,android,208466,Float On,Modest Mouse,Good News For People Who Love Bad News,trackdone,trackdone,FALSE,FALSE
5Zn66o8UqjE1e5CtOtM3co,1/1/2023 1:20,android,240099,The Show Goes On,Lupe Fiasco,The Show Goes On,trackdone,trackdone,FALSE,FALSE
2RDXq7AwoEpvrjsXe4zlUc,1/1/2023 1:23,android,200506,Queen Bitch - 2015 Remaster,David Bowie,Hunky Dory,trackdone,trackdone,FALSE,FALSE
1bo6xzrCrK7ocEirC5rrZk,1/1/2023 1:27,android,214198,Soul Love - 2012 Remaster,David Bowie,The Rise and Fall of Ziggy Stardust and the Spiders from Mars,trackdone,trackdone,FALSE,FALSE
4ZoBC5MhSEzuknIgAkBaoT,1/1/2023 1:31,android,284000,My Life,Billy Joel,52nd Street,trackdone,trackdone,FALSE,FALSE
5LQN7c99Q8gvmh6xJcTZgj,1/1/2023 1:35,android,207546,"""45""",The Gaslight Anthem,Handwritten,trackdone,trackdone,FALSE,FALSE
75FYqcxt1YEAtqDLrOeIJn,1/1/2023 1:38,android,180266,Three Little Birds,Bob Marley & The Wailers,Exodus,trackdone,trackdone,FALSE,FALSE
2zLLGT8WWT1dl73TlVL9qs,1/1/2023 1:44,android,262925,Mariposa Traicionera - 2020 Remasterizado,Maná,Revolución De Amor,trackdone,trackdone,FALSE,FALSE
1Ag8YqvKOcwapkaRJG66p8,1/1/2023 1:48,android,265466,Mother's Daughter,Santana,Abraxas,trackdone,trackdone,FALSE,FALSE
65T1aY3I9qfNUDVAnaM9bq,1/1/2023 1:52,android,239881,Sedona,Houndmouth,Little Neon Limelight,trackdone,trackdone,FALSE,FALSE
1fBl642IhJOE5U319Gy2Go,1/1/2023 1:56,android,212293,Animal,Neon Trees,Habits,trackdone,trackdone,FALSE,FALSE
5p3JunprHCxClJjOmcLV8G,1/1/2023 2:00,android,254173,Walk On the Wild Side,Lou Reed,Transformer,trackdone,trackdone,FALSE,FALSE
6dhaX8fxmnXNZuOxmxyrvD,1/1/2023 2:04,android,217538,L.S.D,Skegss,L.S.D,trackdone,trackdone,FALSE,FALSE
